Date,Custom Multi-Asset Index,SPY
2023-04-20,239.00830349652043,399.09947948188955
2023-04-21,238.29212184768846,399.4095937321569
2023-04-24,238.31747266597873,399.8262423632532
2023-04-25,236.67638353029892,393.47946740819833
2023-04-26,235.15589908782704,391.8128420757212
2023-04-27,238.49348263217317,399.6130811773204
2023-04-28,240.16928018485163,403.0238758088872
2023-05-01,239.13301829886188,402.61693172665184
2023-05-02,238.42553377910795,398.0917776130245
2023-05-03,238.24099739398085,395.35925392660835
2023-05-04,238.8942475177875,392.559014054807
2023-05-05,240.44906272331446,399.82624236325324
2023-05-08,240.1051735768973,399.9328691683571
2023-05-09,239.98185240181073,398.17899532040644
2023-05-10,241.01050862453218,400.03943435727774
2023-05-11,239.29956697853805,399.34181593058844
2023-05-12,239.0488997663451,398.8185096862966
2023-05-15,239.35846603422294,400.1944914824114
2023-05-16,235.83063092134222,397.5200410487028
2023-05-17,237.57612912785095,402.34557405564493
2023-05-18,236.92997923112875,406.22150925452115
2023-05-19,237.46934230809518,405.6304252086608
2023-05-22,237.79856268472824,405.7951252664723
2023-05-23,236.25940704329622,401.2409807386286
2023-05-24,233.363016963292,398.3340524455401
2023-05-25,233.27856243261346,401.78357284827587
2023-05-26,235.4889427535555,406.986905482779
2023-05-30,236.3017441734397,407.1419934160043
2023-05-31,236.3819238967829,404.8843456538502
2023-06-01,238.0619964019299,408.73110558996035
2023-06-02,237.1697204401495,414.6418536242886
2023-06-05,237.34689421579827,413.84722051708155
2023-06-06,238.0723469272632,414.748357197026
2023-06-07,235.66681794734322,413.31424053202034
2023-06-08,238.0986958129371,415.8142863590566
2023-06-09,237.91914489378289,416.5603659138673
2023-06-12,238.80236221981167,420.33931724031737
2023-06-13,237.95419394302576,423.1106283140856
2023-06-14,238.72736245665544,423.61443303638066
2023-06-15,241.03780836194537,428.8663192232802
2023-06-16,240.32841841369117,427.40546113474664
2023-06-20,239.63797022992946,425.1880179321593
2023-06-21,239.30646273633002,423.0094853492905
2023-06-22,237.8405149191422,424.536457602445
2023-06-23,238.25013325154626,421.32693223344495
2023-06-26,238.14835852917403,419.6054993059723
2023-06-27,238.44680814315598,424.2057635469741
2023-06-28,238.64246861061184,424.41969493519747
2023-06-29,237.4350334326656,426.0925743102738
2023-06-30,239.8298858846458,431.12070132772243
2023-07-03,240.79604319488337,431.6167116028372
2023-07-05,240.57407801614428,430.97485582198374
2023-07-06,239.09077477438166,427.59995261715665
2023-07-07,239.30694694952314,426.5204370867206
2023-07-10,239.91430955067113,427.59995261715665
2023-07-11,241.86456553240654,430.32320306799454
2023-07-12,244.03979145687495,433.78553963684504
2023-07-13,245.26531424018745,437.2283746836988
2023-07-14,244.7928057391802,436.95609276994327
2023-07-17,244.60410069183993,438.4733604742367
2023-07-18,245.69618426871216,441.73140858754147
2023-07-19,246.81557520507974,442.71372458890994
2023-07-20,245.58550889129265,439.7766351741235
2023-07-21,245.71637464341217,439.7766351741235
2023-07-24,246.40635209518683,441.74114394449407
2023-07-25,246.5018367268682,442.9471574991301
2023-07-26,247.2868295782101,443.0152125735232
2023-07-27,243.65699569921472,440.0780615425535
2023-07-28,245.0333367118729,444.38660396398626
2023-07-31,245.939256634037,445.23271739229375
2023-08-01,244.42314374615867,443.9586795713562
2023-08-02,241.67356216801684,437.78279710052874
2023-08-03,242.1820472655201,436.5281683773131
2023-08-04,242.24149524569012,434.5538626338068
2023-08-07,242.79558570596308,438.34686245003655
2023-08-08,241.83117543298889,436.44061178092335
2023-08-09,241.46966206150537,433.5229314638588
2023-08-10,240.98719202431695,433.6785431346417
